Doi,keywords
10.1186/s12968-020-00690-4,CARDIAC amyloidosis;  CARDIAC magnetic resonance imaging;  MACHINE learning;  RADIAL basis functions;  LEFT heart atrium;  DEEP learning;  VISUAL learning;  CONVOLUTIONAL neural networks;  LEFT ventricular hypertrophy;  CARDIOMYOPATHIES;  MAGNETIC resonance imaging;  HYPERTROPHIC cardiomyopathy;  SIGNAL convolution;  Deep learning;  Artificial intelligence;  Diagnosis;  Amyloidosis;  Cardiovascular magnetic resonance;  Diseases of the circulatory (Cardiovascular) system;  RC666-701
10.1186/s12916-020-01834-0,BIOMARKERS;  DISEASE progression;  GENETIC mutation;  RANDOM forest algorithms;  MACHINE learning;  COLORECTAL cancer;  CANCER patients;  GENES;  LOGISTIC regression analysis;  PROGRESSION-free survival;  ALGORITHMS;  PROPORTIONAL hazards models;  CANCER diagnosis;  URINALYSIS;  PROSTATE cancer;  DIGITAL rectal examination;  DIAGNOSIS;  Prostate cancer;  Prostate cancer diagnosis;  Clinically significant prostate cancer;  Prostate cancer treatment follow-up;  Gene Panel;  Urine test;  Medicine
10.1186/s40662-020-00213-3,Subclinical keratoconus;  Machine learning;  Combined-devices;  Ultra-high resolution optical coherence tomography;  Scheimpflug camera;  Ophthalmology;  RE1-994
10.1038/s41746-020-00365-5,Computer applications to medicine. Medical informatics;  R858-859.7;  DEEP learning;  DIABETIC retinopathy;  COMPUTER algorithms
10.3390/ijerph17239119,comorbidity;  association rules;  lung cancer;  aging;  chronic disease management;  Medicine
10.1186/s12911-020-01332-6,ARTIFICIAL intelligence;  MEDICAL care;  FOOD quality;  FOOD chemistry;  EXPERT systems;  MACHINE learning;  QUALITY of service;  ORAL mucosa;  DIAGNOSIS;  SCIENTIFIC observation;  MEDICAL personnel;  TRUST;  INTELLECTUAL property;  SYSTEMS development;  KNOWLEDGE graphs;  DRUG side effects;  GRAPH algorithms;  DRUG interactions;  SAMPLING (Process);  APPROPRIATE technology;  MEDICAL care costs;  BIOMARKERS;  RISK assessment;  COMPUTATIONAL linguistics;  NATURAL language processing;  VIRAL encephalitis;  EARLY diagnosis;  RECEIVER operating characteristic curves;  COMPUTER-aided diagnosis;  PATIENT readmissions;  PEOPLE with diabetes;  MEDICAL practice;  FEATURE selection;  RATINGS of hospitals;  DECISION making;  BRAIN tumors
10.1016/j.pmedr.2020.101238,Smoking cessation;  Bayesian machine learning;  Variable selection;  Survey data;  Medicine
10.1186/s12911-020-01353-1,SOCIAL impact;  MASS media;  LANDSCAPE changes;  ECONOMIC development;  ARTIFICIAL intelligence;  Artificial intelligence;  Ethics;  Frame analysis;  Media framing;  Screening;  Diagnosis;  Computer applications to medicine. Medical informatics;  R858-859.7
10.1186/s12968-020-00683-3,ANGIOGRAPHY;  MAGNETIC resonance angiography;  THREE-dimensional imaging;  CONGENITAL heart disease;  RETROSPECTIVE studies;  MANN Whitney U Test;  T-test (Statistics);  PEARSON correlation (Statistics);  DESCRIPTIVE statistics;  DATA analysis software;  DATA analysis;  CHILDREN;  CARDIAC magnetic resonance imaging;  IRON in the body;  HEMOCHROMATOSIS;  IRON overload;  SCREEN time;  FIBRODYSPLASIA ossificans progressiva;  HEART failure;  CARDIOMYOPATHIES;  CARDIAC imaging;  PERCUTANEOUS coronary intervention;  RADIATION exposure;  BODY surface area;  CARDIAC patients;  BODY mass index;  RADIATION doses;  CARDIOVASCULAR diseases risk factors;  LEFT heart atrium;  HEART size;  CARDIOVASCULAR diseases;  MAGNETIC resonance imaging;  INTRACLASS correlation;  ANGIOTENSIN II;  HIV infections;  HIV;  VIRAL load;  CARDIOVASCULAR disease diagnosis;  HEART tumors;  HEART transplantation;  AORTIC diseases;  PULMONARY hypertension;  PEDIATRIC cardiology;  MEDICAL protocols;  MUCOCUTANEOUS lymph node syndrome;  VASCULITIS;  INTERLEUKIN-2;  MAGNETOTHERAPY;  DIAGNOSTIC imaging;  VENTRICULAR ejection fraction;  TYPE 2 diabetes;  VENTRICULAR remodeling;  MAGNETIC resonance
10.3390/cancers12123506,BREAST tumors;  LONGITUDINAL method;  MACHINE learning;  RNA;  SUPPORT vector machines;  MICROARRAY technology;  STATISTICAL models;  DESCRIPTIVE statistics;  breast cancer;  subtyping;  classifier;  machine learning;  optimization;  Neoplasms. Tumors. Oncology. Including cancer and carcinogens;  RC254-282
10.1186/s12888-020-02933-1,Post-traumatic stress disorder;  Machine learning;  Nationally representative;  Psychiatry;  RC435-571
10.1186/s12984-020-00769-0,DEEP learning;  MACHINE learning;  COMPUTER systems;  FEATURE extraction;  DIGITAL images;  THERAPEUTICS;  VIRTUAL reality;  TELEREHABILITATION;  FORELIMB;  ARM;  REHABILITATION technology;  WOUNDS & injuries;  REHABILITATION;  PERSUASION (Rhetoric);  OBSOLESCENCE;  DEBATE;  VIRTUAL communities;  Automation;  Artificial intelligence;  Technology;  Futurism;  Clinical roles;  Virtual reality;  Neurosciences. Biological psychiatry. Neuropsychiatry;  RC321-571
10.1186/s12916-020-01823-3,MACHINE learning;  MALARIA;  MEAN platelet volume;  RANDOM forest algorithms;  ARTIFICIAL neural networks;  BLOOD platelet disorders;  Machine learning;  Uncomplicated Malaria;  Severe Malaria;  Haematological parameters;  Classification;  Medicine
10.1186/s13643-020-01521-4,CONJUGATE gradient methods;  ALGEBRAIC equations;  LINEAR equations;  LINEAR systems;  ACCOUNTING methods;  ARTIFICIAL intelligence;  EVIDENCE-based medicine;  DATA extraction;  APPLICATION software;  RESEARCH teams;  MACHINE learning;  WORKFLOW;  Systematic review;  Machine learning;  Active learning;  Stopping criteria;  Medicine
10.1007/s11948-020-00276-4,ARTIFICIAL intelligence;  DESIGN;  MACHINE learning;  RADIOLOGY;  PARTICIPATION;  CITY councils;  TRANSPARENCY (Optics);  ADMINISTRATIVE acts;  PUBLIC administration;  HUMANISM;  REMOTE sensing;  ALGORITHMS;  PESSIMISM
10.1016/j.jbi.2020.103610,SPORTS medicine;  WEARABLE technology;  ELECTRONIC equipment;  ARTIFICIAL intelligence;  INFORMATION storage & retrieval systems;  HUMAN activity recognition;  BASEBALL injuries;  ENERGY harvesting;  WIRELESS power transmission;  THERMOELECTRIC generators;  DETECTORS;  SOLAR cells;  RADIO frequency;  WIRELESS sensor nodes
10.1186/s12882-020-02093-0,TYPE 1 diabetes;  REGRESSION trees;  BOOSTING algorithms;  CHRONIC kidney failure;  PREDICTION models;  PEOPLE with diabetes;  LOGISTIC regression analysis;  BLOOD cell count;  ERYTHROCYTES;  SUPPORT vector machines;  SPECIFIC gravity;  MACHINE learning;  DIABETIC nephropathies;  DIABETES complications;  End stage renal disease;  Machine learning;  Prediction model;  Algorithm;  Diseases of the genitourinary system. Urology;  RC870-923
10.3390/genes11121475,CONVOLUTIONAL neural networks;  NUCLEOTIDE sequence;  MICRORNA;  NON-coding RNA;  RECURRENT neural networks;  microRNA location predictor;  microRNA subcellular localization;  microRNA multi-label classification;  k-mer positional encoding;  convolutional neural network;  Genetics;  QH426-470
10.1186/s12911-020-01361-1,MENTAL health services;  PSYCHIATRIC hospital care;  MACHINE learning;  FORECASTING;  MEDICAL care use;  Psychiatric hospitalization;  Machine learning;  Acute psychiatry;  Prognostic modeling;  Computer applications to medicine. Medical informatics;  R858-859.7
10.1186/s12938-020-00833-9,SURGICAL excision;  MEDICAL wastes;  FEATURE selection;  ARTIFICIAL intelligence;  ALACHLOR;  Anterior mediastinal cysts;  Thymomas;  Radiomics;  Enhanced CT;  Medical technology;  R855-855.5
10.1186/s13073-020-00804-8,EPIGENOMICS;  BIOMARKERS;  DNA methylation;  MESSENGER RNA;  SOMATIC mutation;  SOFTWARE development tools;  Integrative clustering;  Supervised learning;  Patient survival;  Prognostic molecular stratification;  Medicine;  Genetics;  QH426-470
10.1016/j.compbiomed.2020.104065,SKIN cancer;  DATA mining;  SKIN imaging;  IMAGE segmentation;  CANCER cell growth;  IMAGE processing;  GABOR filters;  COMPUTER vision;  NAIVE Bayes classification;  TUMOR classification;  HISTOGRAMS;  CLASSIFICATION algorithms;  MULTILAYER perceptrons;  DIABETIC foot;  FOOT;  CONVOLUTIONAL neural networks;  EYE diseases;  SYMPTOMS;  INFECTION;  DEEP learning;  DYNAMICAL systems;  DYNAMIC models;  IMAGE analysis;  HEALTH facilities;  ARTIFICIAL intelligence;  DIAGNOSIS;  SKIN diseases;  ARTIFICIAL neural networks;  HYPERSPECTRAL imaging systems;  DATA augmentation;  HUMAN skin color;  MACHINE learning;  FISHER discriminant analysis
10.3390/cancers12123532,INTRAOPERATIVE care;  ARTIFICIAL intelligence;  COLORECTAL cancer;  DECISION making in clinical medicine;  SENSITIVITY & specificity (Statistics);  EARLY detection of cancer;  BREAST cancer;  DATA augmentation;  CARCINOMA in situ;  CANCER diagnosis;  MACHINE learning;  INDIVIDUALIZED medicine;  MEDICAL equipment;  CLINICAL medicine;  ONCOLOGY nursing;  FUNCTIONAL assessment;  DEEP learning;  ECHOCARDIOGRAPHY;  VENTRICULAR ejection fraction;  HEART beat;  FETAL ultrasonic imaging;  MEDICAL screening;  RECEIVER operating characteristic curves;  CONGENITAL heart disease;  COVID-19;  COVID-19 testing;  COVID-19 pandemic;  THERAPEUTICS;  DIAGNOSIS;  IMAGE analysis;  MEDICAL research;  ULTRASONIC imaging;  DATABASES;  CONFIDENCE intervals;  DIABETIC foot;  DIAGNOSTIC imaging;  LEARNING strategies;  SKIN tumors;  TRANSFER of training;  ARTIFICIAL neural networks;  SOFTWARE analytics
10.1186/s12986-020-00519-y,ACUTE kidney failure;  ARTIFICIAL respiration;  C-reactive protein;  CALORIMETRY;  ENERGY metabolism;  HEMODIALYSIS;  MACHINE learning;  MATHEMATICS;  RESEARCH methodology;  REGRESSION analysis;  UREA;  BODY mass index;  CROSS-sectional method;  SUPPORT vector machines;  POSITIVE pressure ventilation;  MANDATORY minute volume ventilation;  RANDOM forest algorithms;  Energy metabolism;  Resting energy expenditure;  Machine learning;  Acute kidney injury;  Sepsis;  Dialysis;  Nutrition. Foods and food supply;  TX341-641;  Nutritional diseases. Deficiency diseases;  RC620-627
10.1136/jnnp-2020-323611,MOTOR neuron diseases;  AMYOTROPHIC lateral sclerosis;  DISEASE progression;  METABOLOMICS;  MULTIVARIATE analysis;  NUCLEAR magnetic resonance;  MOTOR neurons;  NAD (Coenzyme);  MOTOR cortex;  TANDEM mass spectrometry;  HIGH performance liquid chromatography;  MITOCHONDRIA;  DROSOPHILA;  RILUZOLE;  TRICARBOXYLIC acids;  DOPAMINE;  NEURODEGENERATION;  BODY mass index;  ALACHLOR;  LOGISTIC regression analysis;  LIPID metabolism;  BIOCHEMISTRY;  UNSATURATED fatty acids;  RESEARCH;  CARNITINE;  RESEARCH methodology;  ANTI-infective agents;  REGRESSION analysis;  DISCRIMINANT analysis;  CASE-control method;  METABOLISM;  MEDICAL cooperation;  EVALUATION research;  CREATINE;  COMPARATIVE studies;  FATTY acids
10.1016/S2589-7500(20)30249-1,ACUTE coronary syndrome;  CARDIAC arrest;  VENTRICULAR arrhythmia;  CARDIAC magnetic resonance imaging;  ARRHYTHMIA;  CARDIAC imaging;  PATIENT monitoring;  IMPLANTABLE cardioverter-defibrillators;  CORONARY artery disease;  CORONARY artery stenosis;  ARTIFICIAL intelligence;  MEDICAL technology;  MACHINE learning;  Computer applications to medicine. Medical informatics;  R858-859.7
10.1186/s12913-020-05885-0,PUBLIC health;  MEDICAL ethics;  NOSOCOMIAL infections;  THERAPEUTIC complications;  ARTIFICIAL intelligence;  FINANCING of public health;  Medical professionalism;  Medical education;  Public health;  Health management;  Health policy;  Public aspects of medicine;  RA1-1270
10.1016/j.vgie.2020.08.013,COLON polyps;  CAPSULE endoscopy;  FECAL occult blood tests;  COLONOSCOPY;  VIRTUAL colonoscopy;  COLON (Anatomy);  CONVOLUTIONAL neural networks;  ADENOMATOUS polyps;  POLYPS;  COMPUTER-aided diagnosis;  DEEP learning;  COLORECTAL cancer
10.1136/annrheumdis-2020-217033,RESEARCH;  RESEARCH methodology;  SYSTEMIC scleroderma;  EVALUATION research;  MEDICAL cooperation;  TREATMENT effectiveness;  COMPARATIVE studies;  GENE expression profiling;  CYCLOPHOSPHAMIDE;  HEMATOPOIETIC stem cell transplantation;  IMMUNOSUPPRESSIVE agents
10.1186/s13643-020-01520-5,MACHINE learning;  LITERATURE reviews;  ALGORITHMS;  MEDICAL technology;  SUPPORT vector machines;  Study selection;  Machine learning;  Text mining;  Systematic literature reviews;  Methods;  Updates;  Medicine
10.1186/s12885-020-07618-2,CHILD patients;  MACHINE learning;  HEMATOPOIETIC stem cell transplantation;  CANCER stem cells;  SUPPORT vector machines;  Machine learning;  Classifier;  Bloodstream infection;  Children;  Cancer;  Neoplasms. Tumors. Oncology. Including cancer and carcinogens;  RC254-282
10.1186/s12876-020-01494-7,CLINICAL pathology;  DIGITAL image processing;  DEEP learning;  ARTIFICIAL intelligence;  EARLY detection of cancer;  MACHINE learning;  GASTROINTESTINAL tumors;  HISTOLOGICAL techniques;  ALGORITHMS;  HELICOBACTER pylori;  HELICOBACTER pylori infections;  CONVOLUTIONAL neural networks;  DUODENAL ulcers;  STOMACH cancer;  ADENOCARCINOMA;  STOMACH tumors;  CARCINOGENESIS;  CELL physiology;  GENOMICS;  ESOPHAGEAL tumors;  TUMOR grading;  IMMUNOTHERAPY;  Artificial intelligence;  Deep learning;  Convolutional neural networks;  Gastric cancer prevention;  Screening;  Helicobacter pylori;  Diseases of the digestive system. Gastroenterology;  RC799-869
10.3390/nu12123789,food frequency questionnaire;  machine learning;  supervised learning;  feature selection;  PROMETHEE;  missing data;  Nutrition. Foods and food supply;  TX341-641
10.1186/s41747-020-00190-1,CELL-free DNA;  LIPOSARCOMA;  CIRCULATING tumor DNA;  NUCLEOTIDE sequencing;  SECONDARY primary cancer;  MELANOMA;  SKIN cancer;  ANIMAL species;  GOVERNMENT agencies;  CELL lines;  ACCEPTANCE & commitment therapy;  Antigens (neoplasm);  Fluorodeoxyglucose F18;  Immunotherapy;  Positron emission tomography computed tomography;  Receptors (chimeric antigen);  Medical physics. Medical radiology. Nuclear medicine;  R895-920
10.1186/s40545-020-00276-6,ARTIFICIAL intelligence;  DRUG side effects;  BIG data;  MEDICAL personnel;  HOSPITAL pharmacies;  NATURAL language processing;  SPECIALTY pharmacies;  DRUGSTORES;  Natural language processing;  Electronic health records;  Machine learning;  Pharmacovigilance;  Therapeutics. Pharmacology;  RM1-950;  Pharmacy and materia medica;  RS1-441
10.1007/s10916-020-01669-5,ONLINE information services;  HEALTH facilities;  HOSPITAL emergency services;  INFORMATION storage & retrieval systems -- Medical care;  SYSTEMATIC reviews;  MOBILE apps;  ARTIFICIAL intelligence;  MEDICAL emergencies;  DECISION support systems;  DECISION making;  MEDLINE;  MEDICAL research
10.1038/s42003-020-01356-8,SKIN diving;  BRAIN-computer interfaces;  ANIMAL behavior;  ANIMAL swimming;  GRID cells;  VIDEO recording;  PREDATORY animals;  SHEARWATERS;  BIRD behavior;  ELECTRONIC equipment;  DIVING;  DOLPHINS;  HARBOR seal;  SEALS (Animals);  FISHERY resources;  FISHERIES;  PRESSURE sensors;  TELEMETRY;  ANIMALS;  LOGGERS;  GULLS;  ECOLOGY
10.1016/j.artd.2020.08.007,Machine learning;  Artificial intelligence;  Arthroplasty;  Discharge;  Orthopedic surgery;  RD701-811
10.1038/s41698-020-0114-1,BIOMACROMOLECULES;  FLUORESCENCE;  PHYSIOLOGY;  ENDOCYTOSIS;  MOLECULAR probes;  STRUCTURAL dynamics;  ORGANELLES;  DATA analysis;  IMAGE analysis;  TUMOR microenvironment;  ONCOLOGY;  TREATMENT effectiveness;  BREAST cancer prognosis;  MODAL logic;  BIO-imaging sensors;  CANCER diagnosis;  CANCER treatment;  ARTIFICIAL intelligence
10.1038/s41746-020-00352-w,BONE fractures;  CONVOLUTIONAL neural networks;  DEEP learning;  X-ray imaging;  RADIOSCOPIC diagnosis;  EMERGENCY medical services;  DISABILITIES;  MUSCULOSKELETAL system;  RADIOGRAPHS;  Computer applications to medicine. Medical informatics;  R858-859.7
10.1038/s41746-020-00341-z,DEEP learning;  MULTISENSOR data fusion;  DATA fusion (Statistics);  MULTIDIMENSIONAL databases;  SINGLE-photon emission computed tomography;  RECTAL cancer;  CHEMORADIOTHERAPY;  NEOADJUVANT chemotherapy;  CANCER patients;  ARTIFICIAL intelligence;  EMOTION recognition;  EMOTIONAL state;  EXTRACTION techniques;  EMOTIONS;  AUTONOMOUS vehicles;  EMOTICONS & emojis;  VIDEO compression
10.1186/s12920-020-00813-x,PREMATURE ovarian failure;  MEIOSIS;  DNA repair;  EXOMES;  COMPUTER-assisted drug design;  MACHINE tools;  DATA management;  Premature ovarian failure;  Whole exome sequencing;  MCM8;  MCM9;  HFM1;  Gene variants;  Internal medicine;  RC31-1245;  Genetics;  QH426-470
10.1186/s12931-020-01535-5,MYALGIA;  LUNG transplantation;  MACHINE learning;  DYSPNEA;  EXERCISE;  HYPERVENTILATION;  Lung transplantation;  Cardiopulmonary function;  Exercise testing;  Arterial blood gases;  Borg scale;  Muscle pain;  Diseases of the respiratory system;  RC705-779
10.1186/s12904-020-00664-4,TUMOR treatment;  FAMILIES & psychology;  ALGORITHMS;  ARTIFICIAL intelligence;  CANCER patients;  CAREGIVERS;  CAUSALITY (Physics);  COMMUNICATION;  DATABASE management;  DECISION making;  HEALTH services accessibility;  HOME care services;  MACHINE learning;  MEDICAL personnel;  HEALTH policy;  MEDICAL records;  PALLIATIVE treatment;  PROBABILITY theory;  PSYCHOSOCIAL factors;  PLACE of death;  PATIENTS' attitudes;  STATISTICAL models;  ACQUISITION of data methodology;  Cancer;  End-of-life care;  Palliative home care;  Place of death;  Communication;  Family caregivers;  Special situations and conditions;  RC952-1245
10.1038/s41746-020-00350-y,EYELID tumors;  ARTIFICIAL intelligence;  OPHTHALMOLOGISTS;  PHOTOGRAPHY;  EARLY diagnosis;  ARTIFICIAL intelligence in medicine;  DEEP learning;  DISEASES;  FUNDUS oculi;  COMPUTERS in medicine;  Computer applications to medicine. Medical informatics;  R858-859.7
10.1186/s12880-020-00521-z,COVID-19;  Computed tomography;  Radiomics;  Quantitative;  RT-PCR;  Medical technology;  R855-855.5;  MEDICAL wastes;  SYMPTOMS;  RECEIVER operating characteristic curves;  LOGISTIC regression analysis
10.1016/j.cmpb.2020.105729,PHASE contrast magnetic resonance imaging;  MAGNETIC resonance imaging;  PULSATILE flow;  STANDARD deviations;  IMAGE segmentation;  AUTOMATIC differentiation
10.1016/j.healun.2020.08.013,LUNG transplantation;  GRAFT rejection;  BIOPSY;  MOLECULAR association;  MACHINE learning
10.1016/j.invent.2020.100349,Mobile career intervention;  Career competencies;  Public managers;  Mixed method;  RCT;  Information technology;  T58.5-58.64;  Psychology;  BF1-990
10.1038/s41698-020-0122-1,ANTINEOPLASTIC agents;  DRUG discovery;  PREDICTION models;  CELL lines;  GENE regulatory networks;  FORECASTING;  MOIETIES (Chemistry);  RECEIVER operating characteristic curves;  CELL proliferation;  EPIDERMAL growth factor receptors;  DATA integration;  TEXT files;  BIG data;  CELL death;  PROGNOSIS;  SEQUENCE analysis;  IMMUNE checkpoint proteins;  TUMOR microenvironment;  CANCER cell proliferation;  TUMOR markers;  DEEP learning;  CANCER prognosis;  ARTIFICIAL intelligence;  ARTIFICIAL neural networks;  CANCER diagnosis;  MACHINE learning;  AURORA kinases;  DEXAMETHASONE;  LEUKEMIA treatment;  CANCER treatment;  CATENINS;  GENE expression in mammals;  COVID-19;  DISEASE progression;  MEDICAL personnel;  MORTALITY;  BREAST tumor diagnosis;  IMMUNOHISTOCHEMISTRY;  EARLY detection of cancer;  INDIVIDUALIZED medicine;  BIOINFORMATICS;  EXTRACELLULAR space;  BODY fluid examination;  NUCLEIC acids;  ALGORITHMS;  BREAST tumors;  BLOOD;  DRUG resistance;  BIOLOGY;  CANCER patient medical care
10.3390/PHOTONICS7040079,STRUCTURAL health monitoring;  BRILLOUIN scattering;  DISTRIBUTED algorithms;  DISTRIBUTED sensors;  SIGNAL-to-noise ratio;  CURVE fitting;  FEEDFORWARD neural networks;  OPTICAL fiber detectors;  STRAIN sensors;  OPTICAL fibers;  PRINCIPAL components analysis;  BRAGG gratings;  ELECTRONIC data processing;  FIBER Bragg gratings;  MOVING average process;  SIGNAL processing;  DETECTORS;  FILTERS & filtration;  METAL cleaning;  LINEAR velocity;  PARTICLE swarm optimization;  LASERS;  CARBON steel;  BOTDA;  machine learning;  distributed sensor;  Applied optics. Photonics;  TA1501-1820;  TIME-domain analysis;  MACHINE learning
10.1002/minf.202000171,NATURAL products;  COMPUTER-assisted drug design;  DRUG discovery;  DATABASES;  DRUG marketing;  PROTEIN kinase B;  METABOLITES;  MITOGEN-activated protein kinases;  HONEYSUCKLES;  INFLAMMATORY mediators;  HIGH performance liquid chromatography;  TANDEM mass spectrometry;  ACYCLOVIR;  TOXICOLOGY;  LIQUID chromatography-mass spectrometry;  ULTRAVIOLET spectrophotometry;  METABOLISM;  LIVER cells;  VITEX;  LIVER microsomes;  IN vitro studies;  NEW product development;  LEAD compounds;  DRUG resistance in microorganisms;  DRUG resistance;  BIOLOGICAL classification;  MOLECULAR structure;  TRADITIONAL medicine;  ISOQUINOLINE alkaloids;  CHEMINFORMATICS;  MOLECULAR models;  CHEMICAL structure;  EXPERIMENTAL design;  WEB servers
10.1038/s41398-020-01013-y,OBSESSIVE-compulsive disorder;  FUNCTIONAL magnetic resonance imaging;  FUNCTIONAL connectivity;  PREFRONTAL cortex;  PARIETAL lobe;  REWARD (Psychology);  EMOTIONS;  RESPONSE inhibition
10.1186/s13756-020-00825-3,RESPIRATORY infections;  PREDICTION models;  HOSPITAL emergency services;  DRUG resistance in microorganisms;  MEDICAL records;  Adult;  ED;  URTI;  Antibiotic prescribing;  Machine learning;  Prediction model;  Infectious and parasitic diseases;  RC109-216
10.1016/j.jval.2020.08.2091,ACUTE coronary syndrome;  MACHINE learning;  CORONARY angiography;  MACHINE design;  GLYCOSYLATED hemoglobin
10.1016/j.fertnstert.2020.09.166,ARTIFICIAL intelligence;  EMBRYOS;  ARTIFICIAL neural networks
10.1093/ije/dyz223,STATISTICAL learning;  EPIDEMIOLOGY;  RANDOM forest algorithms;  MACHINE learning;  EPIDEMIOLOGISTS;  ECONOMIC aspects of diseases;  EPIDEMIOLOGICAL research
10.1186/s13018-020-02002-z,MUSCULOSKELETAL system diseases;  HOMOGRAFTS;  REGENERATION (Biology);  ORTHOPEDIC surgery;  SYSTEMATIC reviews;  AMNION;  AMNIOTIC liquid;  CHORION;  UMBILICAL cord;  HUMAN embryology;  MESENCHYMAL stem cells;  OSTEOARTHRITIS treatment;  KNEE diseases;  RESEARCH;  PHYSICAL diagnosis;  X-rays;  CONNECTIVE tissues;  MEDICAL cooperation;  PATIENT satisfaction;  MAGNETIC resonance imaging;  SEVERITY of illness index;  TREATMENT effectiveness;  RANDOMIZED controlled trials;  INTRA-articular injections;  BLIND experiment;  SCALE analysis (Psychology);  PATIENT safety;  LONGITUDINAL method;  ARTIFICIAL intelligence;  MACHINE learning;  MEDICAL technology;  SURGICAL complications;  COMPUTER-aided diagnosis;  Machine learning;  Artificial intelligence;  Orthopedic surgery;  PRISMA;  RD701-811;  Diseases of the musculoskeletal system;  RC925-935
10.1016/j.acra.2020.09.004,ARTIFICIAL intelligence;  COVID-19;  COMPUTED tomography;  LUNGS;  DEEP learning;  PEARSON correlation (Statistics);  INSTRUCTIONAL systems;  MEDICAL decision making;  MACHINE learning;  RADIOMICS;  CHEST X rays;  PNEUMONIA;  REVERSE transcriptase polymerase chain reaction;  RADIOLOGISTS;  RECEIVER operating characteristic curves;  IMAGE analysis;  SPEECH processing systems
10.1016/j.radonc.2020.09.029,COMPUTED tomography;  MAGNETIC resonance imaging;  MAGNETIC resonance;  RADIOTHERAPY treatment planning;  PELVIS;  GAMMA distributions;  FEASIBILITY studies;  ABSORBED dose;  RADIATION dosimetry;  RADIOTHERAPY;  COMPUTER-assisted image analysis (Medicine);  CHILD patients;  PHOTONS
10.1111/ced.14341,"GENERAL Data Protection Regulation, 2016;  INFORMED consent (Medical law)"
10.1186/s12984-020-00779-y,PARKINSON'S disease;  WEARABLE technology;  CENTER of mass;  AUDITORY perception;  BODY-weight-supported treadmill training;  UNITS of measurement;  KNEE osteoarthritis;  KNEE joint;  MACHINE learning;  KINEMATICS;  ANATOMICAL planes;  MOTION detectors;  MOTION capture (Human mechanics);  LEG;  INTRACLASS correlation;  YOUNG adults;  GAIT in humans;  OLDER people;  MEDICAL personnel;  ALGORITHMS;  ARTIFICIAL intelligence;  SPINAL fusion;  BACK exercises;  SUPPORT vector machines;  BACKACHE;  POSTURE;  HUMAN activity recognition;  STAIR climbing;  ARTIFICIAL neural networks;  CONVOLUTIONAL neural networks;  OSTEOARTHRITIS;  KNEE;  EVERYDAY life;  ELECTRIC wheelchairs;  SENSOR placement;  DETECTORS;  Disabled persons;  Patients;  Rehabilitation;  Accelerometer;  Gyroscope;  Inertial measurement unit;  Neurosciences. Biological psychiatry. Neuropsychiatry;  RC321-571
10.1038/s41746-020-00340-0,COVID-19;  INDOOR air quality;  COVID-19 pandemic;  VIRAL transmission;  COMMUNICABLE diseases;  AIRBORNE infection;  ONLINE education;  RECEIVER operating characteristic curves;  MACHINE learning;  CONTACT tracing;  BLUETOOTH technology;  PREVENTION of communicable diseases;  Computer applications to medicine. Medical informatics;  R858-859.7
10.1186/s42492-020-00055-9,MICROFLUIDIC devices;  MICROFLUIDICS;  THREE-dimensional printing;  RAPID prototyping;  LABS on a chip;  MANUFACTURING processes;  GROUNDWATER flow;  SUPERVISED learning;  MACHINE learning;  CORONARY artery disease;  RANDOM forest algorithms;  LOGISTIC regression analysis;  STATISTICAL decision making;  CLASSIFICATION algorithms;  Classification;  Machine learning;  Spread subsampling;  Class imbalance;  Drawing. Design. Illustration;  NC1-1940;  Computer applications to medicine. Medical informatics;  R858-859.7;  Computer software;  QA76.75-76.765;  ALGORITHMS;  BIG data;  CLASSIFIERS (Linguistics);  MINORITIES
10.1186/s12880-020-00514-y,DEEP learning;  X-ray detection;  RECEIVER operating characteristic curves;  COVID-19;  ERROR rates;  SIGNAL convolution;  CLASSIFICATION of mental disorders;  X-ray imaging;  IMAGE fusion;  PROBLEM solving;  LUNGS;  ATTENTION;  TEMPORAL lobe;  Lung segmentation;  Chest x-ray;  Acute respiratory distress syndrome;  Medical technology;  R855-855.5
10.1186/s40662-020-00184-5,Keratoconus;  Intracorneal ring segments;  Artificial intelligence;  Visual acuity;  Corneal aberrations;  Ophthalmology;  RE1-994
10.1038/s41398-020-01004-z,NEUROPSYCHIATRY;  MACHINE learning;  BIOMARKERS;  FEATURE extraction;  CLINICAL medicine;  ANXIETY;  QUALITY of life;  CHRONICALLY ill;  VISION disorders;  EYE care;  VISUAL acuity
10.1186/s12920-020-00818-6,NUCLEOTIDE sequencing;  GENOMES;  ANNOTATIONS;  COMPARATIVE genomics;  COMPARATIVE method;  Indel;  Insertion;  Deletion;  Germline variants;  Somatic variants;  Cancer;  Internal medicine;  RC31-1245;  Genetics;  QH426-470
10.1186/s13073-020-00789-4,PEANUT allergy;  LABORATORY mice;  GUT microbiome;  ANIMAL disease models;  FOOD allergy;  PEDIOCOCCUS acidilactici;  GLUTELINS;  GLUTEN;  WHEAT;  IMMUNOGLOBULIN E;  Food allergy;  Microbiota;  P. copri;  SCFA;  Prebiotics;  Postbiotics;  Medicine;  Genetics;  QH426-470
10.1186/s12874-020-01131-7,NATURAL language processing;  CHRONIC fatigue syndrome;  Automation;  Data extraction;  Unstructured data;  Medication;  Natural language processing;  Mylagic encephalomyelitis/chronic fatigue syndrome (ME/CFS);  Medicine (General);  R5-920
